key	ko	en
analysis.fold.hypotheses	가설	Hypotheses
analysis.fold.interpretation	요구사항 해석	Interpretation
analysis.fold.mapping	코드와의 연관	Mapping to code
analysis.fold.openQuestions	추가 확인 질문	Follow-up questions
analysis.fold.suspected	살펴볼 만한 위치	Areas to inspect
analysis.fold.verification	검증 제안	Verification ideas
analysis.pageTitle	SAP ABAP 분석·개선	ABAP analysis · improvement
analysis.refBodyMeta	줄	lines total
analysis.refBodyTitle	분석에 사용된 ABAP 본문 (제출 코드에서 추출)	ABAP body used in this analysis
analysis.reqLinkTitle	요구사항 연계 분석	Requirements ↔ code
app.confirmCancel	취소	Cancel
app.confirmCloseAria	닫기	Close
app.confirmOk	확인	OK
app.confirmTitle	확인	Confirm
badge.active	진행	In progress
badge.analysis	분석	Analysis
badge.draft	임시저장	Draft
badge.failed	실패	Failed
badge.generating	생성 중	Generating
badge.integration	연동	Integration
badge.proposalShort	제안	Proposal
badge.ready	준비됨	Ready
badge.refPrefix	참조	ref.
badge.rfp	RFP	RFP
badge.rounds	라운드	rounds
badge.waiting	대기	Waiting
brand.name	SAP 개발 파트너	SAP Development Partner
chat.abapContextHelp	같은 제출 코드·분석 결과를 맥락으로 답합니다.	Answers use your submitted code and this analysis as context.
chat.abapHeaderTitle	이 분석에 대해 질문하기	Ask about this analysis
chat.answer	응답	Answer
chat.answerOnly	응답만 있음	Answer only (no question saved)
chat.closeAria	채팅 패널 닫기	Close chat panel
chat.closeTitle	닫기	Close
chat.continueAsk	AI 에게 문의	Ask AI
chat.formAiNeedCode	참고 코드에 ABAP 소스가 있으면 이 화면에서 AI에게 문의할 수 있습니다.	Add ABAP source in the reference code field to enable Ask the AI on this page.
chat.formAiTeaserAbap	먼저 임시 저장한 뒤, 이어서 작성(수정) 화면에서 참고 ABAP이 있으면 AI에게 문의할 수 있습니다.	Save a draft first, then open the edit page to use Ask the AI once reference ABAP is available.
chat.formAiTeaserInt	먼저 임시 저장한 뒤, 이어서 작성(수정) 화면에서 연동 요청을 맥락으로 AI에게 문의할 수 있습니다.	Save a draft first, then open the edit page to use Ask the AI with your integration request in context.
chat.formAiTeaserRfp	먼저 임시 저장한 뒤, 이어서 작성(수정) 화면에서 요청 내용을 맥락으로 AI에게 문의할 수 있습니다.	Save a draft first, then open the edit page to use Ask the AI with your request in context.
chat.intContextHelp	연동 요청 내용·첨부를 맥락으로 답합니다.	Answers use your integration request and attachments as context.
chat.intHeaderTitle	이 연동 요청에 대해 질문하기	Ask about this integration request
chat.limitReached	후속 질문 횟수에 도달했습니다.	You have reached the follow-up message limit.
chat.messageLabel	메시지	Message
chat.messagePlaceholder	추가로 궁금한 점을 입력하세요.	What else would you like to know?
chat.noAnswerYet	응답이 아직 없습니다.	No answer yet.
chat.noThreadsYet	아직 대화가 없습니다. 아래에서 질문을 보내 보세요.	No messages yet. Ask something below.
chat.panelResizeAria	패널 크기 조절	Resize panel
chat.panelResizeHint	왼쪽 위 모서리를 드래그하여 크기 조절	Drag the top-left corner to resize
chat.panelResizeTitle	왼쪽 위 모서리의 아이콘을 드래그하면 패널 크기를 조절할 수 있습니다.	Drag the corner icon to resize the panel.
chat.phaseImprove	2. 개선 제안 요청	2. Improvement request
chat.question	질문	Question
chat.refAbapHeading	첨부 ABAP 코드	Attached ABAP
chat.rfpContextHelp	요청서 본문·신규 개발 단계의 AI 인터뷰(있을 경우)·제안서(있을 경우)를 맥락으로 답합니다.	Answers use your request text, the guided-development interview thread (if any), and the proposal (if any) as context.
chat.rfpHeaderTitle	이 신규 개발 요청에 대해 질문하기	Ask about this new development request
chat.send	보내기	Send
chat.taResizeAria	입력 영역 크기 조절	Resize input area
chat.taResizeTitle	오른쪽 위를 드래그하여 입력 창 크기 조절	Drag the corner to resize the input
chat.thread	대화	Thread
codelib.analyzed	분석완료	Analyzed
codelib.emptyCta	첫 번째 코드 등록	Register your first program
codelib.emptyDesc	실제 프로젝트에서 개발한 ABAP 소스를 등록하면 분석 결과가 인터뷰 질문 생성에 활용됩니다.	Register ABAP from your projects—analysis feeds interview questions.
codelib.emptyTitle	등록된 코드가 없습니다	No code yet
codelib.notAnalyzed	미분석	Not analyzed
codelib.reset	초기화	Reset
codelib.searchPlaceholder	프로그램명, 모듈로 검색…	Search by title, program ID, module…
codelib.sectionList	등록된 코드	Registered programs
codelib.statAnalyzed	분석 완료	Analyzed
codelib.statDraft	임시 저장	Drafts
codelib.statTotal	전체 코드	All code
codelib.subtitle	실제 프로젝트 ABAP 소스를 등록하고 분석합니다.	Register real-project ABAP sources for AI analysis.
codelib.title	ABAP 코드 갤러리	ABAP code gallery
codelib.upload	코드 등록	Register code
common.back	이전 화면	Back
common.delete	삭제	Delete
common.detail	상세	View
common.duplicateRequest	요청복사	Duplicate
common.edit	수정	Edit
common.fileFallback	파일	File
common.generating	생성 중…	Generating…
common.itemsUnit	건	items
common.newRequest	신규 요청	New request
common.notLinked	미연결	Not linked
common.save	저장	Save
common.search	검색	Search
common.submit	제출	Submit
common.submitted	제출됨	Submitted
common.workflowLinked	워크플로 연결	Workflow linked
cta.btn	무료로 시작하기	Get Started Free
cta.btn.integration	연동 요청	Integration request
cta.btn.loggedin	신규 요청하기	New Request
cta.btn.rfp	RFP 작성	New RFP
